mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
3	3	10	10	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	29					
3	3	23/2	23/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	30					
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	31					
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	32					
4	4	13	13	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	33					
4	4	53/4	53/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	34					
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	35					
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	36					
4	4	14	14	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	37					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	38					
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	39					
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	40					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	41					
4	4	14	14	0.75	1/2	1/2	Chord	4/4	1	2	3/16	1/8	3/2	42					
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	43					
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	44					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	45					
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	46					
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	47					
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	48					
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	49					
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	50					
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	51					
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	52					
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	53					
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	54					
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	55					
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	56					
5	5	16	16	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	57					
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	58					
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	59					
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	60					
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	61					
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	62					
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	63					
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	64					
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	65					
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	66					
6	6	41/2	41/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	67					
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	68					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	69					
6	6	20	20	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	70					
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	71					
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	72					
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	73					
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	74					
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	75					
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	76					
6	6	20	20	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	77					
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	78					
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	79					
6	6	22	22	1.5	1/2	1/2	Chord	4/4	2	2	3/8	1/4	3/2	80					
6	6	47/2	47/2	0.25	7/8	7/8	Chord	4/4	2	2	1/16	1/16	1	81					
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	82					
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	83					
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	84					
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	85					
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	86					
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	87					
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	88					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	89					
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	90					
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	91					
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	92					
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	93					
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	94					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	95					
7	7	24	24	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	96					
7	7	25	25	2.0	1/4	1/4	Chord	4/4	2	2	1/2	1/2	1	97					
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	98					
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	99					
8	8	28	28	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	100					
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	101					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	102					
8	8	28	28	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	103					
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	104					
8	8	30	30	1.5	1/2	1/2	Chord	4/4	1	2	3/8	1/4	3/2	105					
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	106					
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	107					
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	108					
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	109					
8	8	30	30	0.75	1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	110					
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	111					
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	112					
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	113					
8	8	28	28	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	114					
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	115					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	116					
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1	1	1	117					
9	9	32	32	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	118					
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	119					
9	9	34	34	1.5	1/2	1/2	Chord	4/4	1	2	3/8	1/4	3/2	120					
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	121					
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	122					
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	123					
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	124					
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	125					
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	126					
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	127					
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	128					
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	129					
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	130					
9	9	32	32	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	131					
10	10	36	36	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	132					
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	133					
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	134					
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	135					
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	136					
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	137					
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	138					
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	139					
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	140					
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	141					
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	142					
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	143					
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	144					
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	145					
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	146					
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	147					
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	148					
11	11	43	43	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	149					
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	150					
11	11	40	40	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	151					
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	152					
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	153					
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	154					
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	155					
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	156					
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	157					
11	11	40	40	0.75	0	0	Chord	4/4	2	2	3/16	1/8	3/2	158					
11	11	163/4	163/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	159					
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	160					
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	161					
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	162					
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	163					
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	164					
12	12	44	44	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	165					
12	12	91/2	91/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	166					
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	167					
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	168					
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	169					
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	170					
12	12	44	44	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	171					
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	172					
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	173					
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	174					
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	175					
12	12	44	44	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	176					
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	177					
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	178					
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	179					
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	180					
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	181					
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	182					
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	183					
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	184					
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	185					
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	186					
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	187					
13	13	50	50	0.75	1/2	1/2	Chord	4/4	1	2	3/16	1/8	3/2	188					
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	189					
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	190					
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	191					
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	192					
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	193					
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	194					
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	195					
13	13	48	48	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	196					
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	197					
14	14	53	53	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	198					
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	199					
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	200					
14	14	52	52	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	201					
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	202					
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	203					
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	204					
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	205					
14	14	52	52	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	206					
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	207					
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	208					
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	209					
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	210					
14	14	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	211					
14	14	109/2	109/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	212					
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	213					
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	214					
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	215					
15	15	59	59	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	216					
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	217					
15	15	56	56	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	218					
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	219					
15	15	57	57	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	220					
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	221					
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	222					
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	223					
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	224					
15	15	56	56	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	225					
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	226					
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	227					
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	228					
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	229					
16	16	60	60	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	230					
16	16	243/4	243/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	231					
16	16	61	61	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	232					
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	233					
16	16	62	62	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	234					
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	235					
16	16	63	63	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	236					
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	237					
16	16	60	60	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	238					
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	239					
16	16	62	62	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	240					
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	241					
16	16	60	60	1.5	0	0	Chord	4/4	2	2	3/8	1/4	3/2	242					
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	243					
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	244					
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	245					
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	246					
17	17	64	64	4.0	0	0	Chord	4/4	1	1	1	1	1	247					
17	17	64	64	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	248					
17	17	65	65	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	249					
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	250					
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	251					
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	252					
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	253					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	254					
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	255					
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	256					
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	257					
17	17	66	66	0.75	1/2	1/2	Chord	4/4	2	2	3/16	1/8	3/2	258					
17	17	267/4	267/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16	1/16	1	259					
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	260					
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	261					
18	18	68	68	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	262					
18	18	71	71	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	263					
18	18	68	68	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	264					
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	265					
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	266					
18	18	70	70	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	267					
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	268					
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	269					
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	270					
18	18	68	68	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	271					
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	272					
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	273					
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	274					
18	18	70	70	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	275					
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	276					
18	18	71	71	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	277					
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	278					
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	279					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	280					
19	19	72	72	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	281					
19	19	145/2	145/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	282					
19	19	291/4	291/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	283					
19	19	73	73	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	284					
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	285					
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	286					
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	287					
19	19	75	75	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	288					
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	289					
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	290					
19	19	73	73	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	291					
19	19	74	74	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	292					
19	19	75	75	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	293					
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	294					
19	19	72	72	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	295					
20	20	76	76	4.0	0	0	Chord	4/4	1	2	1	1	1	296					
20	20	76	76	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	297					
20	20	155/2	155/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	298					
